chr,start,end,length,abs_summit,pileup,-log(10) values,fold_enrichment,-log(10) values,name,Annotation,Accession,Symbol,Detailed Annotation
chr1,73615667,73615917,251,73615908,9,3.00683,2.52894,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_21,Intergenic,NR_045311,6030407O03Rik,Intergenic
chr1,87637061,87637356,296,87637280,12,4.86052,3.28763,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_29,Intron,NM_001110193;NM_001110192;NM_010566;NR_122078,Inpp5d,"intron (NR_122078, intron 2 of 27)"
chr1,94279461,94279730,270,94279473,9,3.00683,2.52894,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_31,Intergenic,,,Intergenic
chr1,97047309,97047581,273,97047439,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_32,Intergenic,NR_120500;NM_028942,Slco6b1;Slco6c1,MT2B|LTR|ERVL
chr1,97706614,97707026,413,97706652,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_33,Exon,NM_173760,Ppip5k2,"3' UTR (NM_173760, exon 28 of 28)"
chr1,99184582,99184881,300,99184845,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_34,Intergenic,,,L1Md_A|LINE|L1
chr1,106982247,106982516,270,106982486,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_35,Promoter,NM_172852,Serpinb13,"intron (NM_172852, intron 2 of 7)"
chr1,108384590,108384845,256,108384686,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_36,Intergenic,,,Intergenic
chr1,112460677,112461025,349,112460860,12,4.86052,3.28763,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_37,Intergenic,,,B4|SINE|B4
chr1,118459205,118459500,296,118459392,18,4.84386,2.75005,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_38,Promoter,NR_027901,2900060B14Rik,promoter-TSS (NR_027901)
chr1,119827551,119827844,294,119827801,9,3.00683,2.52894,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_39,Intron,NM_019933,Ptpn4,L1MC4|LINE|L1
chr1,120573443,120573782,340,120573615,12,4.86013,3.28741,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_40,Intergenic,NM_010766;NM_010133,En1;Marco,IAPEz-int|LTR|ERVK
chr1,125553016,125553273,258,125553023,11,3.0945,2.42949,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_41,Intergenic,NM_028787,Slc35f5,L1Md_A|LINE|L1
chr1,127233165,127233469,305,127233263,12,4.86013,3.28741,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_42,Intron,NM_145128,Mgat5,"intron (NM_145128, intron 1 of 17)"
chr1,129397395,129397685,291,129397488,14,4.77579,3.03686,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_43,Intron,NM_172485,Thsd7b,MERVL-int|LTR|ERVL
chr1,139648648,139648959,312,139648790,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_44,Intergenic,NM_001029977;NM_015780;NM_001160303;NM_001160304,Cfhr1;Gm4788,L1Md_T|LINE|L1
chr1,141075507,141075759,253,141075641,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_45,Intergenic,,,Intergenic
chr1,141772648,141773010,363,141772767,10,3.58946,2.78166,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_46,Intergenic,,,AT_rich|Low_complexity|Low_complexity
chr1,143019884,143020308,425,143020255,10,3.58946,2.78166,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_47,Intergenic,,,Intergenic
chr1,144786452,144786719,268,144786544,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_48,Intergenic,NM_022881,Rgs18,MMERVK10C-int|LTR|ERVK
chr1,146158450,146158745,296,146158603,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_49,Intergenic,,,Intergenic
chr1,147185354,147185620,267,147185376,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_50,Intergenic,,,Intergenic
chr1,147210084,147210385,302,147210269,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_51,Intergenic,,,Intergenic
chr1,147720673,147720946,274,147720883,12,3.62513,2.63195,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_52,Intergenic,,,Intergenic
chr1,153320295,153320724,430,153320556,37,20.4901,6.41444,14.8814,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_53,Intron,NM_010683,Lamc1,"intron (NM_010683, intron 1 of 27)"
chr1,163433231,163433573,343,163433337,14,6.25498,3.79317,1.34371,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_54,Intergenic,NM_178883,Gorab,L1Md_F2|LINE|L1
chr1,165953276,165953527,252,165953426,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_55,Intron,NM_011137;NM_198932,Pou2f1,promoter-TSS (NM_001368808)
chr1,173136370,173136626,257,173136490,11,3.89673,2.86163,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_56,Intergenic,NM_146763;NM_001001809;NM_146881;NM_010184;NM_146764,Olfr1406;Olfr1404;Fcer1a;Olfr218;Olfr1408,AT_rich|Low_complexity|Low_complexity
chr1,173826728,173827096,369,173826999,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_57,Intergenic,NM_001045481;NM_001033450;NM_001170853;NM_008328;NM_008329;NM_001204910,Mnda;Ifi204;AI607873;Mndal;Ifi203,Intergenic
chr1,174072657,174072969,313,174072821,9,3.00683,2.52894,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_58,Intergenic,NR_047667;NM_146718;NM_011940;NM_172648;NM_146305;NM_001005520;NM_146716;NM_146717;NM_001206926;NM_146722;NM_011465;NM_146721;NM_146720;NM_008327;NM_207158,Olfr426;Olfr427;Olfr231;Ifi202b;Olfr420;Ifi205;Olfr424;Olfr429;Spta1;Olfr421-ps1;Olfr430;Olfr433;Olfr432,RLTR22_Mur|LTR|ERVK
chr1,174121494,174121772,279,174121751,10,3.58946,2.78166,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_59,Intergenic,NR_047667;NM_146718;NM_172648;NM_146305;NM_001005520;NM_146716;NM_146722;NM_001206926;NM_146717;NM_011465;NM_146721;NM_146720;NM_207158,Olfr426;Olfr427;Olfr231;Olfr420;Ifi205;Olfr424;Olfr429;Spta1;Olfr421-ps1;Olfr430;Olfr433;Olfr432,Intergenic
chr1,191257661,191258066,406,191257824,13,5.54349,3.54052,0.727989,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_60,Intergenic,NM_025864;NM_001109759;NM_025424;NM_007498;NM_144880,Ppp2r5a;Nenf;Tmem206;Atf3;Fam71a,MIRc|SINE|MIR
chr10,15706975,15707232,258,15707206,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_66,Intergenic,,,Intergenic
chr10,19504576,19505005,430,19504721,28,15.3294,5.87127,9.90213,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_67,Intergenic,NM_010511,Ifngr1,"intron (NR_152785, intron 1 of 2)"
chr10,19597800,19598234,435,19598071,26,16.4194,6.75525,10.9464,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_68,Intron,NM_010511,Ifngr1,"intron (NM_010511, intron 2 of 6)"
chr10,25549568,25549963,396,25549852,12,4.86013,3.28741,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_69,Intergenic,NM_013511;NM_001195596;NM_001199265,Epb4.1l2;Smlr1,L1Md_F2|LINE|L1
chr10,38205457,38205783,327,38205614,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_70,Intergenic,,,Intergenic
chr10,42990080,42990331,252,42990293,12,4.86052,3.28763,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_71,Intergenic,NM_175407;NM_172938,Sobp;Scml4,MER63C|DNA|hAT-Blackjack
chr10,46190299,46190601,303,46190343,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_72,Intergenic,NR_028276;NR_028274,Snord14d;Snord14c,Intergenic
chr10,49360253,49360581,329,49360517,10,3.58946,2.78166,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_73,Intron,NM_010349;NM_001111268,Grik2,"intron (NM_001358866, intron 10 of 16)"
chr10,51454390,51454763,374,51454582,16,6.03418,3.44178,1.16491,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_74,Intergenic,NM_008147;NM_001291892;NM_001291893;NM_001291894;NM_013532,Lilrb4;Gp49a,RMER15|LTR|ERVL
chr10,62543725,62544409,685,62544051,28,10.6558,4.06096,5.44786,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_77,Intergenic,NM_053183;NM_181423;NR_027926;NM_019553;NM_001113355;NM_133672;NM_011157;NM_028197,Ddx21;Vps26a;Ddx50;2510003E04Rik;4930507D05Rik;Supv3l1;Srgn,Intergenic
chr10,67141880,67142179,300,67142091,13,5.54349,3.54052,0.727989,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_78,Intron,NM_207221,Jmjd1c,RSINE1|SINE|B4
chr10,67451889,67452185,297,67452109,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_79,Intergenic,NM_001005419;NM_010118,Egr2;Ado,MTA_Mm|LTR|ERVL-MaLR
chr10,67675750,67676047,298,67675948,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_80,Intergenic,,,LTR72_RN|LTR|ERV1
chr10,68040075,68040328,254,68040238,9,3.00683,2.52894,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_81,Exon,NM_001081346,Rtkn2,"intron (NM_001359318, intron 11 of 11)"
chr10,73499072,73499377,306,73499308,12,3.38882,2.51159,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_83,Intergenic,,,Intergenic
chr10,74575748,74576056,309,74575771,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_84,Intron,NM_001142746;NM_001142741;NM_001142740;NM_001142743;NM_001142742;NM_023115;NM_001142760;NM_001142738;NM_001142739;NM_001142735;NM_001142736;NM_001142737,Pcdh15,"intron (NM_001142743, intron 26 of 34)"
chr10,81558983,81559260,278,81559214,9,3.00683,2.52894,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_85,Promoter,NR_074087;NM_010347;NM_001276288,Aes,promoter-TSS (NM_001276288)
chr10,93041750,93042018,269,93041866,13,4.19646,2.83955,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_86,Intergenic,,,B2_Mm1t|SINE|B2
chr10,93274432,93274715,284,93274451,12,4.86052,3.28763,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_87,Intron,NM_013508;NM_001282967,Elk3,"intron (NM_013508, intron 2 of 4)"
chr10,97993289,97993541,253,97993346,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_88,Intergenic,NR_033537,Gm10754,Lx7|LINE|L1
chr10,101639606,101639906,301,101639658,9,3.00683,2.52894,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_89,Intergenic,NM_001205098,Mgat4c,MTD|LTR|ERVL-MaLR
chr10,101959933,101960188,256,101960130,9,3.00683,2.52894,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_90,Intron,NM_001205098,Mgat4c,L1Md_T|LINE|L1
chr10,104242479,104242757,279,104242513,9,3.00655,2.52878,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_91,Intergenic,NR_105838;NM_001270899;NM_001270898;NM_001270642;NM_001270644;NM_001177535;NM_001270901;NM_001270900,Gm20765;Gm21312;Gm6763;Mir6411;Gm21293;Gm4340;Gm8764;Gm21304,L1_Mur1|LINE|L1
chr10,107788493,107788903,411,107788850,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_92,Intron,NM_001177567,Otogl,"intron (NM_001370989, intron 41 of 57)"
chr10,117746374,117746696,323,117746538,11,4.20818,3.03453,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_93,Promoter,NM_029875,Slc35e3,promoter-TSS (NM_029875)
chr10,120448420,120448713,294,120448423,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_94,Intron,NM_010441,Hmga2,promoter-TSS (NR_030434)
chr10,123057084,123057333,250,123057181,10,3.58946,2.78166,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_95,Intron,NM_153395;NM_001163025;NM_001163024,Mon2,B2_Mm2|SINE|B2
chr10,123538307,123538599,293,123538328,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_96,Intron,NM_182807;NR_045514;NM_001252387,Fam19a2,"intron (NR_153334, intron 2 of 6)"
chr10,129376413,129376714,302,129376694,12,4.86052,3.28763,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_97,Intergenic,NM_146551;NM_001011797;NM_146729;NM_146549;NM_146728;NM_001011822;NM_146284,Olfr788;Olfr787;Olfr786;Olfr784;Olfr782;Olfr781;Olfr780,Intergenic
chr10,129523804,129524093,290,129523936,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_98,Promoter,NM_146930,Olfr791,L1MA7|LINE|L1
chr11,4268574,4268832,259,4268689,27,7.66942,3.15365,2.65326,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_100,Promoter,NM_001039537,Lif,"intron (NM_001039537, intron 2 of 2)"
chr11,6386537,6386854,318,6386817,9,3.00655,2.52878,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_101,Intergenic,NM_010956;NM_001252288;NM_001005867;NM_011221;NM_029938;NM_001252282;NM_001252283;NM_008907;NM_028601;NM_001252287,Zmiz2;Ogdh;H2afv;Ppia;Purb,MERVL-int|LTR|ERVL
chr11,7685303,7685639,337,7685431,11,4.20818,3.03453,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_102,Intergenic,,,ETnERV-int|LTR|ERVK
chr11,13764886,13765211,326,13764927,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_103,Intergenic,,,Intergenic
chr11,16878705,16879160,456,16878950,12,4.86052,3.28763,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_104,Intron,NM_207655;NM_007912,Egfr,"intron (NM_207655, intron 13 of 27)"
chr11,16899720,16900034,315,16899821,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_105,Intron,NM_207655,Egfr,"intron (NM_207655, intron 20 of 27)"
chr11,31326377,31326639,263,31326496,11,4.20818,3.03453,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_107,Intergenic,NM_011491,Stc2,Intergenic
chr11,37648578,37648851,274,37648586,9,3.00683,2.52894,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_108,Intergenic,,,Intergenic
chr11,38929401,38929917,517,38929432,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_109,Intergenic,,,Intergenic
chr11,39261918,39262167,250,39262126,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_110,Intergenic,,,Intergenic
chr11,44993216,44993476,261,44993391,11,4.20818,3.03453,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_111,Intron,NM_001290709;NM_001290710;NM_001290711;NM_007897,Ebf1,"intron (NM_001362579, intron 15 of 16)"
chr11,48673061,48673372,312,48673099,10,3.58946,2.78166,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_112,Intergenic,,,Lx5b|LINE|L1
chr11,54162995,54163279,285,54163128,40,18.0641,5.19396,12.5296,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_113,Intergenic,NM_019417;NM_009969;NR_045506;NM_001136076;NM_011031,Pdlim4;P4ha2;4933405E24Rik;Csf2,Intergenic
chr11,54866521,54866857,337,54866648,16,3.83368,2.46057,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_114,Promoter,NM_008248,Hint1,CpG
chr11,58746347,58746643,297,58746483,12,4.86052,3.28763,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_115,Intergenic,NM_001039047;NM_001011769;NM_001011818;NM_001011819;NM_146537;NM_146536;NM_207230;NM_001011760;NM_029283;NM_207693;NM_146538;NM_146501;NM_146500;NM_001162878,Olfr311;Olfr312;Olfr313;Olfr314;Olfr315;Olfr316;Olfr317;Olfr318;Olfr319;Olfr320;Olfr322;Trim58;Fam183b,MTA_Mm|LTR|ERVL-MaLR
chr11,69922266,69922522,257,69922291,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_116,Promoter,NM_001166589;NM_001166596;NM_001166594;NM_001166595;NM_001166592;NM_001166593;NM_001166590;NM_001166591;NM_181582,Eif5a,promoter-TSS (NM_001166593)
chr11,75137028,75137336,309,75137253,12,3.902,2.77499,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_117,Intron,NM_001002764,Smg6,"intron (NM_001002764, intron 13 of 18)"
chr11,75154008,75154518,511,75154353,38,29.2121,9.86288,23.3881,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_118,Intron,NM_001002764,Smg6,"intron (NM_001002764, intron 15 of 18)"
chr11,75976926,75977188,263,75977028,21,11.9247,5.56368,6.64923,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_119,Intergenic,NM_001291159;NM_198637;NM_026664;NM_029548;NM_029658,Rph3al;1700016K19Rik;Vps53;Fam101b,Intergenic
chr11,85234415,85234673,259,85234545,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_121,Promoter,NR_028329;NM_025825,D630032N06Rik;Appbp2,promoter-TSS (NR_028329)
chr11,87441961,87442209,249,87442042,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_122,Intron,NR_106195;NM_031386;NM_001199293,Tex14;Mir8115,B1F2|SINE|Alu
chr11,88719592,88719868,277,88719612,9,3.00683,2.52894,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_123,Promoter,NM_001201341;NR_038058;NM_054043,Msi2;C030037D09Rik,"intron (NR_038058, intron 1 of 3)"
chr11,93234553,93234817,265,93234685,9,3.00655,2.52878,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_124,Intron,NM_028296,Car10,"intron (NM_001361707, intron 3 of 9)"
chr11,95354469,95354942,474,95354740,16,7.37635,4.10204,2.37573,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_125,Intron,NM_172543,Fam117a,"intron (NM_172543, intron 1 of 7)"
chr11,97808605,97808859,255,97808716,13,5.16561,3.33857,0.45471,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_126,Intron,NM_010688,Lasp1,"intron (NM_010688, intron 2 of 6)"
chr11,97920535,97920832,298,97920609,11,4.20818,3.03453,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_127,Intergenic,NM_145121;NM_001080935;NM_001159320;NM_010688;NM_001163608;NM_207231;NM_001081435;NM_001282978;NM_001159319;NM_031173;NM_001282977;NM_028199,Fbxo47;Cacnb1;Plxdc1;Lasp1;B230217C12Rik;Arl5c,Intergenic
chr11,98458113,98458543,431,98458324,20,5.93938,3.03953,1.09245,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_128,Intergenic,NM_001003817;NM_025559;NM_001033537;NM_027061;NM_010346;NM_011771;NM_199419;NR_045477;NM_021547;NM_001166495;NM_001166494;NM_011540;NM_008890,Tcap;Erbb2;Pgap3;1700003D09Rik;Pnmt;Grb7;Stard3;Mien1;Ikzf3;Zpbp2,Intergenic
chr11,104319466,104319717,252,104319598,9,3.00683,2.52894,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_129,Intron,NM_001285455;NM_001285454;NM_001285456;NM_001038609;NM_010838,Mapt,"intron (NM_001038609, intron 9 of 11)"
chr11,108083011,108083380,370,108083231,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_130,Intron,NM_011101,Prkca,"intron (NM_011101, intron 3 of 16)"
chr11,115150717,115151211,495,115151065,16,4.78417,2.86962,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_131,Intron,NM_001163753,Rab37,"intron (NM_001163753, intron 2 of 8)"
chr11,117871998,117872455,458,117872321,23,4.72952,2.43821,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_132,Promoter,NM_027919,Tha1,"intron (NM_027919, intron 1 of 6)"
chr11,121706482,121707101,620,121706585,19,5.38144,2.89479,0.644292,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_133,Intron,NM_144797,Metrnl,"intron (NM_144797, intron 1 of 3)"
chr12,4292182,4292471,290,4292388,12,4.86052,3.28763,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_135,Intron,NM_010881,Ncoa1,"intron (NM_010881, intron 12 of 22)"
chr12,6283230,6283540,311,6283489,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_136,Intergenic,,,RLTR11D|LTR|ERVK
chr12,15627289,15627538,250,15627452,12,4.86052,3.28763,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_137,Intergenic,,,L1Md_T|LINE|L1
chr12,35003246,35003539,294,35003489,9,3.00655,2.52878,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_138,Intergenic,NM_029294;NM_001271386;NM_001014973,Hdac9;Prps1l1;Snx13,Intergenic
chr12,35975940,35976242,303,35976196,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_139,Intergenic,NM_025359;NM_207531;NM_011783,Tspan13;Agr2;Agr3,MTD|LTR|ERVL-MaLR
chr12,39747670,39747918,249,39747783,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_140,Intergenic,,,L1_Mur3|LINE|L1
