chr,start,end,length,abs_summit,pileup,-log(10) values,fold_enrichment,-log(10) values,name,Annotation,Accession,Symbol,Detailed Annotation
chr1,53201607,53201896,290,53201699,11,4.30978,3.09156,0.20119,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_18,Intron,NM_153556,Pms1,"intron (NM_153556, intron 9 of 12)"
chr1,53784875,53785167,293,53784991,11,3.68768,2.7472,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_19,Promoter,NM_133810,Stk17b,CpG
chr1,53889478,53889760,283,53889552,13,5.66592,3.60682,1.25681,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_20,Intron,NM_001001883,Hecw2,"intron (NM_001001883, intron 15 of 28)"
chr1,54913565,54914006,442,54913689,15,4.19722,2.6829,0.200478,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_21,Intron,NM_001081433,Ankrd44,"intron (NM_001081433, intron 1 of 27)"
chr1,58300900,58301397,498,58301024,23,9.15396,4.02435,4.32418,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_22,Intron,NM_001008419,Aox2,B3A|SINE|B2
chr1,58796157,58796395,239,58796234,11,3.82601,2.82278,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_23,Promoter,NM_009812,Casp8,"intron (NM_009812, intron 1 of 8)"
chr1,60475640,60475912,273,60475820,12,4.73201,3.21732,0.555382,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_24,Intron,NM_001198571;NM_001198570;NM_198127,Abi2,"intron (NM_001198570, intron 10 of 11)"
chr1,60702586,60703144,559,60703044,13,4.14414,2.81339,0.186974,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_25,Intergenic,NM_007642,Cd28,Intergenic
chr1,64000661,64000900,240,64000774,20,5.49881,2.87075,1.13731,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_26,Intergenic,NR_105864;NM_033563;NR_035484;NR_027824,Klf7;Mir6899;Gm13749;Mir1958,Intergenic
chr1,69573730,69574043,314,69573983,10,3.56046,2.76506,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_27,Intron,NM_011770,Ikzf2,"intron (NM_011770, intron 4 of 7)"
chr1,69726528,69726848,321,69726737,9,3.0871,2.5763,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_28,Intergenic,NM_011770,Ikzf2,ORR1D2|LTR|ERVL-MaLR
chr1,74239149,74239631,483,74239410,14,3.67846,2.51522,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_29,Intron,NM_029711,Arpc2,"intron (NM_029711, intron 1 of 9)"
chr1,74248642,74248923,282,74248823,14,6.38852,3.86445,1.87408,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_30,Intron,NM_029711,Arpc2,"intron (NM_029711, intron 3 of 9)"
chr1,79751339,79751692,354,79751469,16,3.05212,2.13859,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_31,Intron,NM_027057;NM_001111279,Wdfy1,"intron (NM_001111279, intron 1 of 11)"
chr1,80438532,80438903,372,80438759,12,4.97234,3.34919,0.697082,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_32,Intergenic,NR_040460;NM_175291;NM_016716;NM_001285927,1700016L21Rik;Dock10;Cul3,ERV3-16A3_I-int|LTR|ERVL
chr1,82832881,82833134,254,82832896,14,3.67846,2.51522,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_33,Intergenic,NM_010472;NM_025453;NM_029409,Tm4sf20;Mff;Agfg1,Intergenic
chr1,86885097,86885346,250,86885264,12,4.40624,3.04128,0.280875,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_41,Intron,NM_153530;NM_001172157,Dis3l2,"intron (NM_153530, intron 9 of 20)"
chr1,87637163,87637991,829,87637320,28,18.8252,7.47128,13.4433,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_42,Intron,NM_001110193;NM_001110192;NM_010566;NR_122078,Inpp5d,"intron (NR_122078, intron 2 of 27)"
chr1,87877750,87878150,401,87877993,13,5.29201,3.40567,0.987417,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_43,Intron,NM_177646,Dgkd,"intron (NM_177646, intron 1 of 29)"
chr1,88578475,88578779,305,88578701,11,4.17581,3.01643,0.186974,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_45,Intergenic,NM_008132;NR_037971,Glrp1;Gm19589,(CATA)n|Simple_repeat|Simple_repeat
chr1,88584354,88584845,492,88584688,13,4.1501,2.81636,0.186974,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_46,Intergenic,NM_008132;NR_037971,Glrp1;Gm19589,Intergenic
chr1,88587388,88587684,297,88587526,20,7.14262,3.52131,2.51577,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_47,Intergenic,NM_008132;NR_037971,Glrp1;Gm19589,Intergenic
chr1,88654874,88655160,287,88654984,22,8.46519,3.85667,3.70396,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_48,Intergenic,NM_177305;NR_037971;NR_040493,2410088K16Rik;Gm19589;Arl4c,Intergenic
chr1,91093351,91093736,386,91093465,11,4.30978,3.09156,0.20119,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_49,Exon,NM_008515,Lrrfip1,"intron (NM_001310732, intron 11 of 24)"
chr1,91193163,91193512,350,91193492,21,5.39313,2.76759,1.05312,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_50,Intron,NM_001168392;NM_178401;NM_016894,Ramp1,"intron (NM_178401, intron 1 of 2)"
chr1,91398540,91398793,254,91398692,13,4.1501,2.81636,0.186974,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_51,Promoter,NM_023343,Ilkap,"exon (NM_023343, exon 1 of 12)"
chr1,94953112,94953380,269,94953286,11,4.30978,3.09156,0.20119,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_52,Intergenic,,,Intergenic
chr1,98263181,98263422,242,98263287,16,7.70955,4.27327,3.02801,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_53,Intergenic,,,L1_Mur3|LINE|L1
chr1,101445332,101445610,279,101445368,10,3.56046,2.76506,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_54,Intergenic,,,Intergenic
chr1,101595536,101595791,256,101595660,11,4.30978,3.09156,0.20119,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_55,Intergenic,,,Lx8|LINE|L1
chr1,101905656,101905909,254,101905697,11,4.28334,3.07669,0.20119,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_56,Intergenic,,,Intergenic
chr1,105981005,105981502,498,105981220,18,5.67556,3.0916,1.26182,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_57,Intergenic,NM_001122676;NM_001122675,Zcchc2,"intron (NR_151625, intron 2 of 2)"
chr1,106321190,106321703,514,106321490,29,16.7991,6.32603,11.5121,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_58,Intron,NM_133821,Phlpp1,"intron (NM_133821, intron 4 of 16)"
chr1,106697473,106697808,336,106697733,10,3.6805,2.83393,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_59,Intron,NM_009741,Bcl2,"intron (NM_009741, intron 1 of 1)"
chr1,115596946,115597220,275,115597092,10,3.6805,2.83393,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_60,Intergenic,NM_001077425,Cntnap5a,L1Md_A|LINE|L1
chr1,123324433,123324689,257,123324680,10,3.56046,2.76506,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_61,Intergenic,NM_199021,Dpp10,RSINE1|SINE|B4
chr1,127233071,127233464,394,127233331,19,10.1345,5.02738,5.22091,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_62,Intron,NM_145128,Mgat5,"intron (NM_145128, intron 1 of 17)"
chr1,128359353,128359598,246,128359475,14,5.03117,3.16301,0.747586,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_63,Promoter,NM_008567,Mcm6,"exon (NM_008567, exon 1 of 17)"
chr1,128766841,128767389,549,128767039,15,4.19722,2.6829,0.200478,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_64,Intergenic,,,Intergenic
chr1,135659645,135659922,278,135659773,15,4.19722,2.6829,0.200478,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_65,Intergenic,NM_173437;NM_007791,Nav1;Csrp1,Intergenic
chr1,136255271,136255584,314,136255424,22,12.7477,5.78149,7.67151,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_66,Intergenic,NM_001039472;NM_001081360;NM_028872;NM_001101516,Gpr25;Camsap2;5730559C18Rik;Kif21b,Intergenic
chr1,136578257,136578551,295,136578445,11,3.9122,2.87015,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_67,Intergenic,NM_001287179;NM_001160251;NM_177643,Kif14;Zfp281,Intergenic
chr1,137885525,137885804,280,137885703,12,4.97234,3.34919,0.697082,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_68,Intergenic,NR_029820;NR_029795,Mir181b-1;Mir181a-1,Intergenic
chr1,138190077,138190491,415,138190370,15,6.96312,4.02976,2.38354,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_69,Intergenic,NM_011210;NM_001268286;NM_001111316;NM_177397,Atp6v1g3;Ptprc,Intergenic
chr1,138191833,138192310,478,138192107,13,5.40271,3.46481,1.05579,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_70,Intergenic,NM_011210;NM_001268286;NM_001111316;NM_177397,Atp6v1g3;Ptprc,Intergenic
chr1,141666602,141666851,250,141666605,10,3.48565,2.72235,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_71,Intergenic,,,Intergenic
chr1,141694480,141694909,430,141694582,12,4.97234,3.34919,0.697082,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_72,Intergenic,,,L1Md_F2|LINE|L1
chr1,142358510,142358782,273,142358709,14,6.38852,3.86445,1.87408,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_73,Intergenic,,,IAPEz-int|LTR|ERVK
chr1,142399039,142399319,281,142399134,10,3.56046,2.76506,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_74,Intergenic,,,Lx7|LINE|L1
chr1,151894018,151894286,269,151894168,13,5.04545,3.27522,0.753366,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_75,Intron,NM_197990,1700025G04Rik,"intron (NM_197990, intron 5 of 5)"
chr1,152008985,152009230,246,152009124,27,6.57698,2.81842,2.03957,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_76,Intron,NM_197990,1700025G04Rik,"intron (NM_197990, intron 1 of 5)"
chr1,153080315,153080693,379,153080597,11,4.30978,3.09156,0.20119,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_77,Intron,NM_175460,Nmnat2,MMETn-int|LTR|ERVK
chr1,153085332,153085756,425,153085435,17,3.47815,2.26439,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_78,Intron,NM_175460,Nmnat2,"intron (NM_175460, intron 4 of 10)"
chr1,153320030,153320781,752,153320560,41,24.0265,7.04262,18.4315,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_79,Intron,NM_010683,Lamc1,"intron (NM_010683, intron 1 of 27)"
chr1,159953174,159953510,337,159953312,12,4.53286,3.10933,0.391677,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_80,Intergenic,NM_022312;NM_001162896;NR_028111,4930523C07Rik;Tnr,Intergenic
chr1,161779163,161779402,240,161779272,24,9.86009,4.19204,4.9663,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_81,Intergenic,NM_172645;NM_010177;NM_001205243,Suco;Fasl,Intergenic
chr1,164078269,164078552,284,164078391,18,8.30683,4.28097,3.55975,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_82,Intron,NM_001164059;NM_011346,Sell,"intron (NM_011346, intron 8 of 8)"
chr1,164135222,164136960,1739,164135458,51,32.1977,8.15102,26.3722,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_83,Intron,NM_011347,Selp,"intron (NM_011347, intron 8 of 15)"
chr1,171627934,171628231,298,171628059,15,6.94814,4.02191,2.37179,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_84,Intergenic,NM_144539;NM_018729;NM_010584;NM_001277968;NR_102726;NM_007649;NM_008534,Cd244;Slamf7;Itln1;Ly9;Cd48,Intergenic
chr1,181860519,181861226,708,181860794,18,5.89873,3.18595,1.46213,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_85,Intergenic,NM_001083121;NM_010135;NM_133815;NM_008680;NM_001083120,Enah;Lbr,Intergenic
chr1,191446237,191446570,334,191446434,11,4.30978,3.09156,0.20119,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_86,Intergenic,NM_144880;NM_025864;NM_029766,Ppp2r5a;Tmem206;Dtl,ID_B1|SINE|B4
chr1,193975275,193975814,540,193975537,10,3.6805,2.83393,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_87,Intergenic,,,Intergenic
chr10,6905970,6906265,296,6906161,11,4.30978,3.09156,0.20119,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_91,Intron,NM_001039652;NM_001170800,Oprm1;Ipcef1,L1MB7|LINE|L1
chr10,7832074,7832582,509,7832465,13,4.41983,2.95215,0.289311,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_92,Promoter,NM_172785,Zc3h12d,promoter-TSS (NM_172785)
chr10,13964782,13965021,240,13964905,24,5.11516,2.51645,0.816957,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_94,Promoter,NM_010437,Hivep2,CpG
chr10,13982890,13983551,662,13983163,39,25.6363,8.04675,19.9867,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_95,Intron,NM_010437,Hivep2,"intron (NM_001358782, intron 1 of 9)"
chr10,19494515,19494852,338,19494584,20,7.14262,3.52131,2.51577,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_96,Intergenic,NM_010511,Ifngr1,promoter-TSS (NR_152785)
chr10,19504540,19505157,618,19504708,36,22.6564,7.44324,17.1186,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_97,Intergenic,NM_010511,Ifngr1,"intron (NR_152785, intron 1 of 2)"
chr10,19506102,19506340,239,19506210,36,10.4371,3.38599,5.49933,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_98,Intergenic,NM_010511,Ifngr1,"non-coding (NR_152784, exon 3 of 4)"
chr10,19529806,19530175,370,19529883,19,6.5104,3.35363,1.97521,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_99,Intergenic,NM_010511;NM_178258,Il22ra2;Ifngr1,RMER12|LTR|ERVK
chr10,19577834,19578115,282,19578079,13,3.2296,2.36815,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_100,Intergenic,NM_010511;NM_178258,Il22ra2;Ifngr1,Intergenic
chr10,19596847,19597216,370,19597008,12,4.56527,3.12682,0.421247,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_101,Intron,NM_010511,Ifngr1,URR1B|DNA|hAT-Charlie
chr10,19597855,19598376,522,19598271,16,3.79363,2.44378,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_102,Intron,NM_010511,Ifngr1,MRLTR33|LTR|ERVK
chr10,20865139,20865468,330,20865295,15,6.94814,4.02191,2.37179,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_104,Intergenic,NM_026203,Ahi1,MT2A|LTR|ERVL
chr10,24149278,24149599,322,24149513,13,4.1501,2.81636,0.186974,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_105,Promoter,NM_016797,Stx7,"5' UTR (NM_016797, exon 1 of 10)"
chr10,28593935,28594579,645,28593975,13,5.51664,3.52604,1.14961,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_106,Intron,NM_008983,Ptprk,"intron (NM_001359355, intron 33 of 33)"
chr10,34256641,34256946,306,34256713,12,4.97234,3.34919,0.697082,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_107,Intergenic,NM_172508;NM_030203;NM_009433;NM_176968,Tspyl4;Dse;Tspyl1;Nt5dc1,MuRRS-int|LTR|ERV1
chr10,36157906,36158184,279,36158036,11,4.30978,3.09156,0.20119,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_108,Intergenic,,,Intergenic
chr10,39486419,39487077,659,39486593,19,8.04279,4.02338,3.31506,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_109,Intron,NM_008054;NM_001122893;NM_001122892,Fyn,"intron (NM_001122893, intron 3 of 13)"
chr10,39830248,39830548,301,39830316,10,3.6805,2.83393,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_110,Intron,NM_011264,Rev3l,Tigger7|DNA|TcMar-Tigger
chr10,40163515,40163821,307,40163668,13,5.44032,3.48498,1.0913,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_111,Intergenic,NM_028247;NM_001114332;NM_026113;NM_023323;NM_001042556,Rpf2;Slc16a10;Gtf3c6,Intergenic
chr10,41809369,41809604,236,41809450,13,4.71917,3.1053,0.555382,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_112,Promoter,NM_029132;NM_026643;NM_001243075;NM_001243074;NM_001162908,Sesn1;Cep57l1,CpG
chr10,44403481,44403831,351,44403641,24,9.86009,4.19204,4.9663,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_113,Intergenic,NM_053069;NR_035450;NM_007548,Mir1929;Prdm1;Atg5,Intergenic
chr10,45822349,45822634,286,45822521,13,5.66592,3.60682,1.25681,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_114,Intron,NR_040624,D030045P18Rik,HAL1|LINE|L1
chr10,48060307,48060549,243,48060358,11,4.30978,3.09156,0.20119,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_115,Intergenic,,,Intergenic
chr10,51453528,51454842,1315,51454606,33,23.6106,8.54655,18.0415,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_116,Intergenic,NM_008147;NM_001291892;NM_001291893;NM_001291894;NM_013532,Lilrb4;Gp49a,Intergenic
chr10,59953830,59954149,320,59953985,11,4.17581,3.01643,0.186974,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_118,Promoter,NM_029083,Ddit4,Intergenic
chr10,60381375,60381645,271,60381412,20,3.39738,2.11382,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_119,Intron,NM_001252635;NM_023370;NR_045556,Cdh23,"intron (NR_045556, intron 33 of 68)"
chr10,62543687,62544504,818,62543970,49,27.8695,7.06089,22.1504,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_120,Intergenic,NM_053183;NM_181423;NR_027926;NM_019553;NM_001113355;NM_133672;NM_011157;NM_028197,Ddx21;Vps26a;Ddx50;2510003E04Rik;4930507D05Rik;Supv3l1;Srgn,B1_Mur4|SINE|Alu
chr10,67243022,67243293,272,67243251,12,4.82437,3.2678,0.610116,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_121,Intron,NM_001242396;NM_207221,Jmjd1c,"intron (NM_207221, intron 18 of 25)"
chr10,68054789,68055046,258,68055024,10,3.6805,2.83393,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_122,Intergenic,NM_001081346;NM_023598,Rtkn2;Arid5b,L1M5|LINE|L1
chr10,75303727,75303965,239,75303891,10,3.56046,2.76506,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_123,Intron,NM_153406;NM_001145826,Specc1l,"intron (NM_153406, intron 13 of 15)"
chr10,75978395,75978687,293,75978524,14,5.71353,3.50916,1.29421,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_124,Intron,NM_198635,Gm5134,"intron (NM_198635, intron 6 of 13)"
chr10,77520609,77520930,322,77520654,21,7.79449,3.68899,3.10391,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_125,Intergenic,NM_133998;NM_008404;NR_027377;NM_145925;NM_019929,Pttg1ip;Itgb2;Sumo3;Gm17769;Fam207a,Intergenic
chr10,79937094,79937780,687,79937265,18,5.89873,3.18595,1.46213,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_126,Intron,NM_001288625;NM_007880;NM_001288626;NR_038088,Arid3a;Bc1,"intron (NM_001288625, intron 3 of 8)"
chr10,79985122,79985445,324,79985352,23,7.66325,3.45005,2.99031,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_127,Promoter,NM_001003949,Tmem259,"intron (NR_038088, intron 1 of 4)"
chr10,80622783,80623123,341,80623017,13,5.50389,3.51917,1.13731,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_128,Promoter,NM_134002,Csnk1g2,CpG
chr10,81559129,81559444,316,81559255,14,6.38852,3.86445,1.87408,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_129,Promoter,NR_074087;NM_010347;NM_001276288,Aes,promoter-TSS (NM_001276288)
chr10,81561113,81561501,389,81561267,19,3.01342,2.01316,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_130,Promoter,NR_074087;NM_010347;NM_001276288,Aes,"exon (NM_001276288, exon 2 of 7)"
chr10,82697442,82697786,345,82697694,12,4.82437,3.2678,0.610116,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_131,Promoter,NM_001081218,Hcfc2,Intergenic
chr10,83361803,83362090,288,83362021,11,4.30978,3.09156,0.20119,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_132,Promoter,NM_026579,D10Wsu102e,"intron (NM_026579, intron 1 of 3)"
chr10,84897646,84897903,258,84897834,10,3.6805,2.83393,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_133,Intron,NM_027689;NM_001024918,Rfx4,"intron (NM_001024918, intron 17 of 17)"
chr10,86705577,86705867,291,86705686,18,4.79706,2.73129,0.603806,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_134,Promoter,NM_001003910;NM_011631;NM_001003939,BC030307;Hsp90b1,promoter-TSS (NM_011631)
chr10,90295182,90295429,248,90295379,14,6.38852,3.86445,1.87408,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_135,Intron,NM_001128086,Anks1b,"intron (NM_001359241, intron 10 of 25)"
