chr,start,end,length,abs_summit,pileup,-log(10) values,fold_enrichment,-log(10) values,name,Annotation,Accession,Symbol,Detailed Annotation
chr1,13155102,13155887,786,13155511,71,82.5872,23.7993,77.5349,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_12,Intron,NM_008678;NM_001077695,Ncoa2,"intron (NM_008678, intron 16 of 22)"
chr1,13267330,13267626,297,13267462,18,9.5435,4.89848,6.35612,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_13,Intron,NM_008678;NM_001077695,Ncoa2,"intron (NM_008678, intron 2 of 22)"
chr1,13301500,13301758,259,13301723,15,7.14395,4.12503,4.18626,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_14,Intron,NM_008678;NM_001077695,Ncoa2,"intron (NM_008678, intron 1 of 22)"
chr1,13372901,13373467,567,13372969,24,10.7368,4.5471,7.45097,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_15,Promoter,NM_008678;NM_001077695,Ncoa2,promoter-TSS (NM_001302702)
chr1,13593286,13593663,378,13593475,39,30.1039,10.0033,25.9296,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_16,Intergenic,NM_145381;NM_001011873;NM_028173,Tram1;Lactb2;Xkr9,ORR1D2|LTR|ERVL-MaLR
chr1,13660216,13660582,367,13660362,24,12.6148,5.35901,9.1947,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_17,Promoter,NM_145381,Lactb2,"exon (NM_145381, exon 1 of 7)"
chr1,15805679,15806271,593,15805786,16,9.73117,5.37005,6.52472,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_18,Promoter,NM_001286628;NM_009352,Terf1,CpG
chr1,16105404,16105708,305,16105528,18,6.78566,3.57268,3.86141,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_19,Promoter,NM_011291;NM_133832,Rpl7;Rdh10,promoter-TSS (NM_133832)
chr1,16227919,16228164,246,16228123,15,7.14395,4.12503,4.18626,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_20,Intergenic,NM_001111272;NM_133832;NM_025303,Stau2;Rdh10,TTS (NM_025303)
chr1,16656936,16657407,472,16656939,21,5.8722,2.94228,3.05388,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_21,Promoter,NM_026456;NR_037998,Tceb1;D030040B21Rik,promoter-TSS (NM_001310470)
chr1,16747273,16747521,249,16747382,21,12.1408,5.67192,8.74119,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_22,Intergenic,NM_026456;NM_001159711;NM_027415;NM_016923;NR_037998;NM_026392,Tmem70;Ly96;Tceb1;D030040B21Rik,Intergenic
chr1,20740563,20740887,325,20740777,31,26.4647,10.5775,22.3886,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_23,Intergenic,NR_029902;NM_008563;NM_010552;NR_029593;NM_145856,Mcm3;Mir206;Il17f;Mir133b;Il17a,Intergenic
chr1,20819614,20820616,1003,20820259,37,18.261,5.62337,14.5115,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_24,Promoter,NM_008563,Mcm3,CpG
chr1,21961007,21961463,457,21961066,24,9.72983,4.14057,6.52472,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_25,Promoter,NM_001160139;NM_023872,Kcnq5,"exon (NM_001310477, exon 1 of 13)"
chr1,30872551,30872957,407,30872853,15,7.14395,4.12503,4.18626,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_26,Intergenic,NM_001081080;NR_002688;NM_011200,Gm13363;Ptp4a1;Phf3,Intergenic
chr1,30873345,30873731,387,30873693,11,5.8095,3.96655,2.9932,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_27,Intergenic,NM_001081080;NR_002688;NM_011200,Gm13363;Ptp4a1;Phf3,CpG
chr1,30949114,30950320,1207,30950054,37,25.107,8.26366,21.082,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_28,Promoter,NR_002688;NM_011200,Gm13363;Ptp4a1,promoter-TSS (NR_002688)
chr1,33669501,33670156,656,33669807,24,7.59622,3.3435,4.58707,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_29,Promoter,NM_008922;NR_033199,1700001G17Rik;Prim2,promoter-TSS (NM_008922)
chr1,33883202,33883629,428,33883489,15,9.24171,5.28874,6.0793,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_30,Exon,NM_177235,Bend6,"intron (NM_001310484, intron 1 of 5)"
chr1,34439334,34439569,236,34439477,24,6.01051,2.80377,3.17769,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_31,Promoter,NM_027159;NM_178601,Ccdc115;Imp4,promoter-TSS (NM_178601)
chr1,34472607,34473006,400,34472755,15,5.88391,3.47944,3.05905,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_32,Exon,NM_011206,Ptpn18,"exon (NM_011206, exon 13 of 15)"
chr1,34479017,34479297,281,34479186,12,6.29998,4.10651,3.4451,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_33,Intergenic,NM_027159;NR_039562;NM_011206;NM_007685;NM_009355;NM_009356;NM_178601,Ptpn18;Prss40;Imp4;Ccdc115;Mir5103;Prss39;Cfc1,Intergenic
chr1,34842357,34842725,369,34842623,15,7.97355,4.57288,4.93453,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_34,Promoter,NM_001160235;NM_174997;NM_001160236,Fam168b,CpG
chr1,34852432,34852724,293,34852652,32,26.7759,10.4242,22.6935,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_35,Promoter,NM_145516;NM_175421,Plekhb2,"intron (NM_001357425, intron 2 of 8)"
chr1,35652714,35653009,296,35652877,10,5.03037,3.63601,2.30991,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_36,Intergenic,,,Intergenic
chr1,36160138,36160584,447,36160384,36,21.4559,6.95733,17.5627,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_37,Intron,NM_198899,Uggt1,"intron (NM_198899, intron 31 of 40)"
chr1,36243903,36244393,491,36244256,40,20.7915,6.06732,16.9272,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_38,Promoter,NM_198899,Uggt1,"5' UTR (NM_198899, exon 1 of 41)"
chr1,36262047,36262364,318,36262326,21,5.8722,2.94228,3.05388,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_39,Intergenic,NR_033310;NM_001172206;NM_001172205;NM_153408;NM_172652;NM_145996;NR_105863;NM_001290727;NM_001290726;NM_198899,Kansl3;Mir6898;Neurl3;Arid5a;Uggt1,Intergenic
chr1,36264154,36264672,519,36264347,23,10.3393,4.51286,7.0843,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_40,Exon,NM_153408,Neurl3,TTS (NM_153408)
chr1,36293260,36294134,875,36293649,104,90.6855,15.5383,85.5547,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_41,Intergenic,NR_033310;NM_001172206;NM_001172205;NM_001277076;NM_153408;NM_172652;NM_145996;NR_105863;NM_001290727;NM_001290726;NM_198899,Kansl3;Mir6898;Fer1l5;Arid5a;Neurl3;Uggt1,MLT1G|LTR|ERVL-MaLR
chr1,36296676,36297460,785,36296967,28,8.19573,3.25237,5.13356,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_42,Intergenic,NR_033310;NM_001172206;NM_001172205;NM_001277076;NM_153408;NM_172652;NM_145996;NR_105863;NM_001290727;NM_001290726;NM_198899,Kansl3;Mir6898;Fer1l5;Arid5a;Neurl3;Uggt1,Intergenic
chr1,36307655,36309511,1857,36308143,34,19.5989,6.58126,15.7851,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_43,Promoter,NR_033310;NM_001172206;NM_001172205;NM_145996;NM_001290727;NM_001290726,Arid5a,"intron (NM_001172206, intron 1 of 6)"
chr1,36368368,36369043,676,36368435,14,7.16263,4.28707,4.20041,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_44,Promoter,NM_172652,Kansl3,CpG
chr1,36691573,36691894,322,36691648,13,5.67067,3.60941,2.88236,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_45,Promoter,NM_009942,Cox5b,CpG
chr1,36761926,36762217,292,36761965,18,6.78566,3.57268,3.86141,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_46,Promoter,NM_009539;NM_001289766,Zap70,"intron (NM_009539, intron 1 of 12)"
chr1,36766678,36767430,753,36766956,22,15.6213,7.28063,12.0064,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_47,Promoter,NM_001289766;NM_001289765,Zap70,"5' UTR (NM_001289765, exon 1 of 13)"
chr1,36883795,36884116,322,36883893,24,18.3729,8.26365,14.6103,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_48,Intron,NM_018872,Tmem131,"intron (NM_018872, intron 2 of 40)"
chr1,36939697,36940191,495,36939973,24,6.74906,3.04994,3.82987,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_49,Promoter,NM_018872,Tmem131,promoter-TSS (NM_018872)
chr1,37028939,37029499,561,37029039,18,12.0953,6.28038,8.70245,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_50,Intergenic,NM_018872,Tmem131,promoter-TSS (NM_001370828)
chr1,37299918,37300477,560,37300160,13,7.46679,4.62765,4.46665,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_51,Promoter,NM_030266;NM_001290797,Inpp4a,CpG
chr1,37429617,37430091,475,37429921,20,9.51585,4.56676,6.33546,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_52,Promoter,NM_198006;NM_026123,Coa5;Unc50,promoter-TSS (NM_026123)
chr1,37478125,37479060,936,37478239,21,9.46393,4.40156,6.29046,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_53,Intron,NM_001290801;NM_173870,Mgat4a,"intron (NM_173870, intron 5 of 15)"
chr1,37496546,37496968,423,37496598,12,6.62243,4.2971,3.71145,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_54,Intron,NM_001290801;NM_173870,Mgat4a,"intron (NM_001290801, intron 2 of 14)"
chr1,37585694,37586307,614,37585878,18,12.0953,6.28038,8.70245,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_55,Intergenic,NR_024017;NM_001290801;NM_028096;NM_173870,2010300C02Rik;Mgat4a;4930594C11Rik,Tigger5b|DNA|TcMar-Tigger
chr1,37865325,37865736,412,37865328,20,6.11432,3.10765,3.27482,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_56,Promoter,NM_207228;NM_001290720,Tsga10,promoter-TSS (NM_207228)
chr1,37890175,37890749,575,37890512,27,10.6028,4.14354,7.32637,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_57,Promoter,NM_026913;NM_027098,Mrpl30;Mitd1,promoter-TSS (NM_026913)
chr1,37997794,37998129,336,37998029,20,7.03778,3.47808,4.09853,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_58,Promoter,NM_198303;NM_172054,Txndc9;Eif5b,promoter-TSS (NM_172054)
chr1,38777566,38777812,247,38777695,30,16.0336,5.82911,12.3946,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_59,Intergenic,NM_145142;NM_001029878,Chst10;Lonrf2,Intergenic
chr1,39196674,39197267,594,39196931,67,55.0416,12.7864,50.3563,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_60,Promoter,NM_008719,Npas2,"intron (NM_008719, intron 1 of 20)"
chr1,39206939,39207179,241,39206957,11,5.5291,3.79859,2.75798,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_61,Intron,NM_008719,Npas2,"intron (NM_008719, intron 1 of 20)"
chr1,39280936,39281290,355,39281153,15,7.14395,4.12503,4.18626,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_62,Intron,NM_008719,Npas2,"intron (NM_008719, intron 2 of 20)"
chr1,39368467,39368820,354,39368721,17,10.6539,5.68593,7.37337,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_63,Promoter,NM_053257;NM_001252219;NM_001252218,Rpl31,"intron (NM_053257, intron 2 of 4)"
chr1,39576039,39577413,1375,39576142,23,16.6397,7.58124,12.9726,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_64,Promoter,NM_001033135,Rnf149,CpG
chr1,39842121,39842969,849,39842430,111,147.512,36.3352,141.927,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_65,Exon,NR_040465,1700066B17Rik,"non-coding (NR_040465, exon 5 of 5)"
chr1,39901196,39902247,1052,39901989,16,8.81028,4.85868,5.69325,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_66,Promoter,NM_008696;NM_001252201;NM_001252202;NM_001252200,Map4k4,(T)n|Simple_repeat|Simple_repeat
chr1,39902550,39902898,349,39902820,19,12.5677,6.3177,9.15279,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_67,Promoter,NM_008696;NM_001252201;NM_001252202;NM_001252200,Map4k4,"intron (NM_001252200, intron 2 of 31)"
chr1,39923482,39924026,545,39923664,30,24.9147,10.0571,20.8935,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_68,Intron,NM_008696;NM_001252201;NM_001252202;NM_001252200,Map4k4,"intron (NM_001252200, intron 2 of 31)"
chr1,39936418,39936779,362,39936616,17,11.1205,5.94983,7.79794,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_69,Intron,NM_008696;NM_001252201;NM_001252202;NM_001252200,Map4k4,"intron (NM_001252200, intron 2 of 31)"
chr1,40386238,40386534,297,40386324,52,34.5575,8.778,30.2623,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_70,Intergenic,NM_010743;NM_001161843;NM_001025602;NM_001161842;NM_133193;NM_008365;NM_008362;NM_001123382;NM_001294171,Il18r1;Il1rl2;Il1r1;Il1rl1,Intergenic
chr1,40393300,40393562,263,40393432,25,15.8678,6.70318,12.2401,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_71,Intergenic,NM_010743;NM_001161843;NM_001025602;NM_001161842;NM_133193;NM_008365;NM_008362;NM_001123382;NM_001294171,Il18r1;Il1rl2;Il1r1;Il1rl1,Intergenic
chr1,40465607,40465991,385,40465892,15,8.85154,5.06479,5.72218,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_72,Promoter,NM_008365;NM_001161843;NM_001161842,Il18r1,promoter-TSS (NM_008365)
chr1,40515070,40516606,1537,40515374,36,27.3643,9.53914,23.2625,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_73,Promoter,NM_010553,Il18rap,"intron (NM_010553, intron 2 of 12)"
chr1,42851113,42851483,371,42851182,19,10.3887,5.15629,7.12637,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_74,Promoter,NM_023514,Mrps9,promoter-TSS (NM_023514)
chr1,43446031,43446451,421,43446159,14,7.16263,4.28707,4.20041,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_75,Promoter,NM_010879,Nck2,CpG
chr1,43539784,43540161,378,43539876,35,24.8917,8.64291,20.8712,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_76,Intron,NM_010879,Nck2,"intron (NM_010879, intron 3 of 4)"
chr1,43827422,43827762,341,43827712,17,7.7622,4.15526,4.74403,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_77,Promoter,NM_026430,Uxs1,CpG
chr1,44101709,44102762,1054,44102426,25,11.8881,4.88893,8.52007,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_78,Promoter,NM_029368,Tex30,CpG
chr1,44122394,44122645,252,44122486,19,10.3887,5.15629,7.12637,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_79,Promoter,NM_144558,Bivm,"intron (NM_144558, intron 1 of 9)"
chr1,45795057,45795768,712,45795556,21,12.1408,5.67192,8.74119,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_80,Promoter,NM_028599,Wdr75,"5' UTR (NM_028599, exon 1 of 21)"
chr1,51448787,51449022,236,51449015,14,5.22892,3.26197,2.48607,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_81,Intergenic,NM_028696,Nabp1,Intergenic
chr1,51478100,51478859,760,51478282,25,14.9157,6.2421,11.3445,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_82,Promoter,NM_028696,Nabp1,promoter-TSS (NM_001310549)
chr1,51508998,51509581,584,51509248,37,32.9294,12.0289,28.6763,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_83,Intergenic,NM_028696,Nabp1,TTS (NR_151621)
chr1,51509821,51510179,359,51510029,18,11.432,5.90854,8.09096,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_84,Intergenic,NM_028696,Nabp1,"non-coding (NR_151621, exon 4 of 4)"
chr1,51514617,51514952,336,51514878,31,14.773,5.19112,11.2102,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_85,Intergenic,NM_028696,Nabp1,"intron (NR_151621, intron 3 of 3)"
chr1,51525723,51525994,272,51525773,22,8.34766,3.80932,5.26469,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_86,Intergenic,NM_028696,Nabp1,"intron (NR_151621, intron 3 of 3)"
chr1,51572447,51572796,350,51572645,16,8.81028,4.85868,5.69325,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_87,Intergenic,NM_028696,Nabp1,ORR1E|LTR|ERVL-MaLR
chr1,51584887,51585226,340,51585115,24,9.72983,4.14057,6.52472,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_88,Intergenic,,,ORR1F|LTR|ERVL-MaLR
chr1,51593986,51594220,235,51594126,31,19.1373,6.95888,15.3425,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_89,Intergenic,,,"intron (NR_151621, intron 1 of 3)"
chr1,52010801,52011232,432,52010937,18,10.5556,5.43029,7.28179,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_90,Intron,NM_011487,Stat4,"intron (NM_011487, intron 1 of 23)"
chr1,52019655,52020094,440,52019800,28,15.167,5.80206,11.5762,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_91,Intron,NM_011487,Stat4,"intron (NM_011487, intron 3 of 23)"
chr1,52022338,52022608,271,52022538,17,6.87298,3.72545,3.9442,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_92,Intron,NM_011487,Stat4,"intron (NM_011487, intron 3 of 23)"
chr1,52118930,52119857,928,52119350,40,18.9981,5.48334,15.2129,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_93,Promoter,NM_001205314;NM_009283;NM_001205313,Stat1,promoter-TSS (NM_001205314)
chr1,52228251,52228489,239,52228443,14,7.2741,4.34919,4.30235,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_94,Intron,NM_001113383;NM_001081081,Gls,B3A|SINE|B2
chr1,52231425,52232652,1228,52231949,26,8.82958,3.61098,5.70939,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_95,Promoter,NM_001113383;NM_001081081,Gls,"intron (NM_001081081, intron 1 of 17)"
chr1,52232956,52233220,265,52233101,20,10.932,5.25174,7.63991,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_96,Promoter,NM_001113383;NM_001081081,Gls,"5' UTR (NM_001113383, exon 1 of 15)"
chr1,52363711,52363981,271,52363823,59,64.3958,19.8328,59.5742,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_97,Intergenic,NM_008667,Nab1,Intergenic
chr1,52374788,52375039,252,52374948,24,12.7863,5.43662,9.34751,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_98,Intergenic,NM_008667,Nab1,MTD|LTR|ERVL-MaLR
chr1,52499624,52500169,546,52499736,15,9.24171,5.28874,6.0793,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_99,Promoter,NM_008667,Nab1,"intron (NM_008667, intron 1 of 7)"
chr1,52500653,52500891,239,52500812,18,7.5736,3.93242,4.56822,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_100,Promoter,NM_008667,Nab1,promoter-TSS (NM_008667)
chr1,52597793,52598090,298,52597971,20,14.1099,6.94147,10.5825,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_101,Intergenic,NM_008667;NM_133829;NM_178081;NR_024590;NM_001142647,Tmem194b;Nab1;Mfsd6,Intergenic
chr1,52630396,52631096,701,52630789,17,5.22269,2.98121,2.48607,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_102,Promoter,NR_024590;NM_001142647,Tmem194b,promoter-TSS (NM_001142647)
chr1,52727012,52727313,302,52727064,16,6.19522,3.51848,3.34637,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_103,Promoter,NM_133829;NM_178081,Mfsd6,"5' UTR (NM_001357464, exon 1 of 8)"
chr1,52798767,52800022,1256,52799674,21,15.1477,7.27201,11.5579,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_104,Exon,NM_008384,Inpp1,"exon (NM_008384, exon 2 of 6)"
chr1,52844852,52845312,461,52844985,21,14.592,6.96408,11.0338,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_105,Promoter,NM_146108,Hibch,promoter-TSS (NM_146108)
chr1,53297159,53297393,235,53297285,16,6.45597,3.64413,3.5755,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_106,Promoter,NM_145517;NM_153556,Pms1;Ormdl1,promoter-TSS (NM_153556)
chr1,53352281,53352733,453,53352559,25,19.4827,8.5942,15.6727,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_107,Promoter,NM_133728;NM_001290984,Asnsd1,CpG
chr1,53773062,53773373,312,53773116,16,8.36231,4.61687,5.27924,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_108,Intron,NM_133810,Stk17b,"intron (NM_133810, intron 2 of 7)"
chr1,53781094,53781942,849,53781824,19,10.3887,5.15629,7.12637,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_109,Intron,NM_133810,Stk17b,L2b|LINE|L2
chr1,53782320,53782888,569,53782477,19,10.3887,5.15629,7.12637,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_110,Promoter,NM_133810,Stk17b,"intron (NM_133810, intron 1 of 7)"
chr1,53784154,53785167,1014,53784510,23,11.9417,5.21916,8.56516,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_111,Promoter,NM_133810,Stk17b,"intron (NM_133810, intron 1 of 7)"
chr1,53797851,53798110,260,53797964,30,19.7319,7.44251,15.9148,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_112,Intergenic,NM_001001883;NM_133810;NM_001252070;NR_106149,Stk17b;Mir7681;Hecw2;Dnah7a,Intergenic
chr1,53838106,53838363,258,53838306,14,8.22798,4.89276,5.16455,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_113,Intron,NM_001001883,Hecw2,"intron (NM_001001883, intron 23 of 28)"
chr1,53844930,53845633,704,53845446,112,114.419,21.2481,109.085,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_114,Intron,NM_001001883,Hecw2,"intron (NM_001001883, intron 21 of 28)"
chr1,53889394,53889665,272,53889500,22,16.2047,7.60256,12.5547,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_115,Intron,NM_001001883,Hecw2,"intron (NM_001001883, intron 15 of 28)"
chr1,54860497,54860818,322,54860607,16,6.56439,3.6969,3.67374,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_116,Intron,NM_001081433,Ankrd44,"intron (NM_001081433, intron 1 of 27)"
chr1,54896974,54897226,253,54897052,14,6.4814,3.91432,3.5987,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_117,Intron,NM_001081433,Ankrd44,"intron (NM_001081433, intron 1 of 27)"
